Sample ID,Sample Details,Test,Results,Units,Absorbance,QC Pro result,Operator,Man Dil Factor,Auto Dil Factor,Date and Time
Standard 1,,Nitrate 5 KCl,  0.003,mg N/L,0.003064, ,,1,1,2019-07-22 16:59:26
Standard 1,,Ammonia 10 KCl,  0.001,mg N/L,0.001197, ,,1,1,2019-07-22 12:26:58
Standard 90,,Nitrate 5 KCl,  0.048,mg N/L,0.047538, ,,1,1,2019-07-22 17:01:44
Standard 90,,Ammonia 10 KCl,  0.103,mg N/L,0.102668, ,,1,1,2019-07-22 12:29:12
Standard 91,,Nitrate 5 KCl,  0.115,mg N/L,0.114571, ,,1,1,2019-07-22 17:04:03
Standard 91,,Ammonia 10 KCl,  0.230,mg N/L,0.229560, ,,1,1,2019-07-22 12:31:24
Standard 92,,Nitrate 5 KCl,  0.221,mg N/L,0.220659, ,,1,1,2019-07-22 17:06:21
Standard 92,,Ammonia 10 KCl,  0.451,mg N/L,0.450607, ,,1,1,2019-07-22 12:33:37
Standard 93,,Nitrate 5 KCl,  0.349,mg N/L,0.348606, ,,1,1,2019-07-22 17:08:40
Standard 93,,Ammonia 10 KCl,  0.675,mg N/L,0.674968, ,,1,1,2019-07-22 12:35:50
Standard 94,,Nitrate 5 KCl,  0.477,mg N/L,0.477386, ,,1,1,2019-07-22 17:10:58
Standard 94,,Ammonia 10 KCl,  0.908,mg N/L,0.908290, ,,1,1,2019-07-22 12:38:02
Standard 0,,Nitrate 5 KCl, -0.000,mg N/L,-0.000457, ,,1,1,2019-07-22 17:13:17
Standard 0,,Ammonia 10 KCl,  0.003,mg N/L,0.002514, ,,1,1,2019-07-22 12:40:15
CCV,,Nitrate 5 KCl,  4.732,mg N/L,0.443791,0.00,,1,1,2019-07-22 17:15:36
CCB,,Nitrate 5 KCl,  0.041,mg N/L,0.001574,0.00,,1,1,2019-07-22 17:17:56
NO2 1 mg L,,Nitrate 5 KCl,  1.398,mg N/L,0.129489, ,,1,1,2019-07-22 17:20:16
NO3 1 mg L,,Nitrate 5 KCl,  1.040,mg N/L,0.095719, ,,1,1,2019-07-22 17:22:35
CCV,,Ammonia 10 KCl,  9.582,mg N/L,0.866475,0.00,,1,1,2019-07-22 12:42:28
CCB,,Ammonia 10 KCl,  0.002,mg N/L,0.001401,0.00,,1,1,2019-07-22 12:44:41
KCl analytical,,Nitrate 5 KCl,  0.044,mg N/L,0.001840, ,,1,1,2019-07-22 17:24:54
KCl analytical,,Ammonia 10 KCl,  0.028,mg N/L,0.003747, ,,1,1,2019-07-22 12:46:54
100.72.pre.a,,Nitrate 5 KCl,  0.571,mg N/L,0.051589, ,,1,1,2019-07-22 17:27:13
100.72.pre.a,,Ammonia 10 KCl,  1.111,mg N/L,0.101574, ,,1,1,2019-07-22 12:49:07
100.72.post.a,,Nitrate 5 KCl,  7.893,mg N/L,0.244184, ,,1,3.02,2019-07-22 20:22:02
100.72.post.a,,Ammonia 10 KCl,  0.339,mg N/L,0.031862, ,,1,1,2019-07-22 12:51:20
58.66.pre.a,,Nitrate 5 KCl,  0.055,mg N/L,0.002920, ,,1,1,2019-07-22 17:31:51
58.66.pre.a,,Ammonia 10 KCl,  1.612,mg N/L,0.146789, ,,1,1,2019-07-22 12:53:34
58.66.post.a,,Nitrate 5 KCl,  0.681,mg N/L,0.061875, ,,1,1,2019-07-22 17:34:10
58.66.post.a,,Ammonia 10 KCl,  4.330,mg N/L,0.392245, ,,1,1,2019-07-22 12:55:49
50.60.pre.a,,Nitrate 5 KCl,  0.031,mg N/L,0.000634, ,,1,1,2019-07-22 17:36:29
50.60.pre.a,,Ammonia 10 KCl,  0.495,mg N/L,0.045930, ,,1,1,2019-07-22 12:58:02
50.60.post.a,,Nitrate 5 KCl, -0.022,mg N/L,-0.004394, ,,1,1,2019-07-22 17:38:48
50.60.post.a,,Ammonia 10 KCl,  2.200,mg N/L,0.199904, ,,1,1,2019-07-22 13:00:15
41.54.pre.a,,Nitrate 5 KCl,  0.366,mg N/L,0.032233, ,,1,1,2019-07-22 17:41:08
41.54.pre.a,,Ammonia 10 KCl,  1.671,mg N/L,0.152149, ,,1,1,2019-07-22 13:02:29
CCV,,Nitrate 5 KCl,  4.820,mg N/L,0.452091,0.00,,1,1,2019-07-22 17:43:27
CCB,,Nitrate 5 KCl,  0.045,mg N/L,0.001961,0.00,,1,1,2019-07-22 17:45:48
41.54.post.a,,Nitrate 5 KCl,  9.059,mg N/L,0.280601, ,,1,3.02,2019-07-22 20:22:58
41.54.post.a,,Ammonia 10 KCl,  1.493,mg N/L,0.136052, ,,1,1,2019-07-22 13:04:42
31.48.pre.a,,Nitrate 5 KCl, -0.007,mg N/L,-0.002989, ,,1,1,2019-07-22 17:50:28
31.48.pre.a,,Ammonia 10 KCl,  0.727,mg N/L,0.066939, ,,1,1,2019-07-22 13:06:56
CCV,,Ammonia 10 KCl,  9.966,mg N/L,0.901190,0.00,,1,1,2019-07-22 13:09:09
CCB,,Ammonia 10 KCl,  0.032,mg N/L,0.004120,0.00,,1,1,2019-07-22 13:11:22
31.48.post.a,,Nitrate 5 KCl,  0.041,mg N/L,0.001598, ,,1,1,2019-07-22 17:52:47
31.48.post.a,,Ammonia 10 KCl,  3.591,mg N/L,0.325552, ,,1,1,2019-07-22 13:13:36
24.42.pre.a,,Nitrate 5 KCl,  1.209,mg N/L,0.111696, ,,1,1,2019-07-22 17:55:06
24.42.pre.a,,Ammonia 10 KCl,  1.122,mg N/L,0.102545, ,,1,1,2019-07-22 13:15:49
24.42.post.a,,Nitrate 5 KCl,  8.775,mg N/L,0.271722, ,,1,3.02,2019-07-22 20:23:55
24.42.post.a,,Ammonia 10 KCl,  0.419,mg N/L,0.039115, ,,1,1,2019-07-22 13:18:02
KCl blank 1 k,,Nitrate 5 KCl,  0.065,mg N/L,0.003811, ,,1,1,2019-07-22 17:59:44
KCl blank 1 k,,Ammonia 10 KCl,  0.449,mg N/L,0.041846, ,,1,1,2019-07-22 13:20:16
22.36.pre.a,,Nitrate 5 KCl,  1.620,mg N/L,0.150409, ,,1,1,2019-07-22 18:02:03
22.36.pre.a,,Ammonia 10 KCl,  1.188,mg N/L,0.108491, ,,1,1,2019-07-22 13:22:30
22.36.post.a,,Nitrate 5 KCl,  9.764,mg N/L,0.302620, ,,1,3.02,2019-07-22 20:24:51
22.36.post.a,,Ammonia 10 KCl,  0.522,mg N/L,0.048421, ,,1,1,2019-07-22 13:24:43
20.30.pre.a,,Nitrate 5 KCl,  0.057,mg N/L,0.003058, ,,1,1,2019-07-22 18:06:41
20.30.pre.a,,Ammonia 10 KCl,  0.584,mg N/L,0.053985, ,,1,1,2019-07-22 13:26:56
20.30.post.a,,Nitrate 5 KCl,  0.047,mg N/L,0.002178, ,,1,1,2019-07-22 18:08:59
20.30.post.a,,Ammonia 10 KCl,  2.440,mg N/L,0.221574, ,,1,1,2019-07-22 13:29:08
CCV,,Nitrate 5 KCl,  4.765,mg N/L,0.446961,0.00,,1,1,2019-07-22 18:11:18
CCB,,Nitrate 5 KCl,  0.052,mg N/L,0.002637,0.00,,1,1,2019-07-22 18:13:39
9.24.pre.a,,Nitrate 5 KCl,  0.049,mg N/L,0.002338, ,,1,1,2019-07-22 18:16:00
9.24.pre.a,,Ammonia 10 KCl,  2.023,mg N/L,0.183929, ,,1,1,2019-07-22 13:31:20
9.24.post.a,,Nitrate 5 KCl,  0.316,mg N/L,0.027534, ,,1,1,2019-07-22 18:18:19
9.24.post.a,,Ammonia 10 KCl,  6.567,mg N/L,0.594203, ,,1,1,2019-07-22 13:33:32
CCV,,Ammonia 10 KCl,  9.882,mg N/L,0.893519,0.00,,1,1,2019-07-22 13:35:45
CCB,,Ammonia 10 KCl, -0.015,mg N/L,-0.000107,0.00,,1,1,2019-07-22 13:37:57
7.18.pre.a,,Nitrate 5 KCl,  0.063,mg N/L,0.003678, ,,1,1,2019-07-22 18:20:37
7.18.pre.a,,Ammonia 10 KCl,  1.472,mg N/L,0.134195, ,,1,1,2019-07-22 13:40:10
7.18.post.a,,Nitrate 5 KCl,  1.737,mg N/L,0.161474, ,,1,1,2019-07-22 18:22:56
7.18.post.a,,Ammonia 10 KCl,  4.825,mg N/L,0.436949, ,,1,1,2019-07-22 13:42:22
